x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
A1051,,A0,A1,A0,70.0,A1,A1,A1,A0,74.1,5222.3,A1
A1052,A1,A0,A0,A1,4.0,A1,A0,A0,,55.5,227.35,A1
A1053,A0,A0,A1,A0,50.0,A0,A2,A2,A2,24.95,1261.45,A1
A1054,A1,A0,A1,A0,72.0,A1,A1,A1,A1,108.65,7726.35,A1
A1055,A0,A0,A0,A1,5.0,A1,A0,A1,A1,96.1,453.4,A0
A1056,A0,A0,A1,A1,72.0,A0,A2,A2,A2,25.4,1710.9,A1
A1057,A0,A0,A0,A1,9.0,A1,A0,A1,A1,95.9,827.45,A1
A1058,A0,A0,A0,A1,6.0,A1,A2,A2,A2,18.95,110.15,A1
A1059,A0,A0,A1,A0,72.0,A0,A2,A2,A2,26.1,1851.45,A1
A1060,,A0,A0,A1,66.0,A2,A0,A1,A0,29.45,1983.15,A1
A1061,A0,A1,A1,A1,51.0,A2,A1,A0,A0,29.45,1459.35,A1
A1062,A1,A0,A1,A1,58.0,A0,A0,A1,A0,68.4,3972.25,A1
A1063,,A0,A1,A0,25.0,A1,A2,A2,A2,20.05,520.1,A1
A1064,A1,A1,A0,A1,1.0,A2,A0,A0,A0,25.8,25.8,A0
A1065,A1,A0,A0,A1,32.0,A0,A0,A0,A1,84.05,2781.85,A0
A1066,A1,A0,A1,A1,41.0,A0,A1,A1,A1,113.6,4594.95,A0
A1067,A1,A0,A1,A1,53.0,A1,A2,A2,A2,20.8,1021.8,A0
A1068,A0,A0,A0,A1,34.0,A1,A2,A2,A2,19.7,675.6,A1
A1069,A1,A0,A0,A1,42.0,A1,A1,A0,A0,49.55,2077.95,A1
A1070,A0,A1,A1,A1,49.0,A1,A1,A0,A0,49.8,2398.4,A1
A1071,A0,A0,A1,A0,46.0,A1,A2,A2,,20.2,845.6,A1
A1072,A1,A0,A0,A1,1.0,A1,A0,A0,A0,70.1,70.1,A0
A1073,A1,A0,A0,A1,3.0,A1,A0,A0,,79.4,244.65,A0
A1074,A0,A0,A0,A1,1.0,A1,A2,A2,A2,20.1,20.1,A0
A1075,A1,A0,A0,A1,1.0,A1,A2,A2,A2,19.5,19.5,A0
A1076,A0,A0,A0,A1,1.0,A1,A0,A0,,44.3,44.3,A1
A1077,A0,A0,A0,A1,72.0,A1,A2,A2,A2,19.85,1434.1,A1
A1078,A0,A0,A1,A1,72.0,A1,A2,A2,A2,20.7,1492.1,A1
A1079,A0,A1,A1,A1,13.0,A0,A1,A0,A0,93.8,1261.0,A1
A1080,A0,A0,A1,A0,60.0,A1,A1,A1,A0,65.85,3928.3,A1
A1081,A1,A0,A1,A1,47.0,A0,A0,A0,A1,100.5,4707.1,A1
A1082,A1,A0,A0,A1,26.0,A1,A0,A0,A1,88.8,2274.35,A0
A1083,A1,A0,A1,A0,52.0,A1,A2,A2,A2,20.4,1090.65,A1
A1084,A1,A0,A1,A0,22.0,A1,A1,A0,A0,83.3,1845.9,A0
A1085,A0,A0,A1,A0,62.0,A1,A0,A1,A0,71.4,4487.3,A1
A1086,A0,A0,A1,A0,72.0,A0,A2,A2,A2,25.2,1798.9,A1
A1087,A1,A0,A0,A1,72.0,A1,A2,A2,A2,21.15,1419.4,A1
A1088,A1,A0,A0,A1,1.0,A1,A1,A0,A0,49.5,49.5,A1
A1089,A1,A0,A1,A1,56.0,A0,A0,A1,A1,103.2,5744.35,A1
A1090,,A0,A1,A0,7.0,A1,A1,A0,A1,69.45,477.05,A1
A1091,A0,A0,A0,A1,,A1,A0,A1,A1,94.2,2607.6,A1
A1092,A0,A0,A1,A1,72.0,A0,A2,A2,A2,24.8,1874.3,A1
A1093,A0,A0,A0,A1,3.0,A0,A0,A0,A0,75.0,209.1,A0
A1094,,A1,A0,A1,20.0,A1,A0,A0,,71.3,1389.2,A0
A1095,A1,A0,A1,A0,70.0,A1,A2,A2,A2,19.2,1401.4,A1
A1096,A0,A0,A0,A1,33.0,A2,A1,A0,A1,39.1,1309.0,A1
A1097,,A0,A0,A1,24.0,A0,A0,A1,A0,84.35,1938.05,A1
A1098,A0,A0,A0,A1,3.0,A1,A0,A0,A0,54.65,189.1,A1
A1099,A1,A0,A1,A1,61.0,A0,A0,A1,A1,106.35,6751.35,A1
A1100,A0,A0,A0,A0,68.0,A0,A1,A1,,86.5,5882.75,A1
A1101,A0,A0,A1,A0,53.0,A0,A0,A1,A0,71.85,3827.9,A1
A1102,A1,A1,A1,A1,1.0,A1,A0,A0,A0,46.0,46.0,A0
A1103,A0,A0,A0,A1,62.0,A1,A1,A0,A1,74.3,4698.05,A1
A1104,A0,A0,A1,A0,46.0,A0,A1,A0,A0,80.0,3769.7,A1
A1105,A0,A0,A0,A1,60.0,A1,A1,A0,A0,61.4,3638.25,A1
A1106,A1,A0,A1,A1,17.0,A0,A0,A0,A0,78.9,1348.95,A1
A1107,A1,A1,A1,A0,65.0,A0,A0,A1,A1,103.9,6767.1,A1
A1108,A1,A0,A1,A0,50.0,A1,A2,A2,A2,20.15,930.9,A1
A1109,A0,A1,A0,A1,12.0,A2,A0,A1,A0,43.65,526.95,A0
A1110,A1,A0,A0,A1,4.0,A1,A0,A1,A0,94.4,387.2,A0
A1111,,A0,A0,A0,1.0,A1,A0,A0,A0,70.45,70.45,A0
A1112,A0,A0,A0,A1,4.0,A1,A2,A2,A2,20.7,83.75,A1
A1113,A1,A0,A1,A0,39.0,A1,A2,A2,,19.85,854.8,A1
A1114,A1,A0,A0,A1,1.0,A1,A2,A2,,20.3,20.3,A1
A1115,A1,A0,A1,A0,24.0,A2,A1,A0,A1,57.6,1367.75,A1
A1116,A0,A0,A1,A1,72.0,A0,A1,A0,A1,106.3,7565.35,A1
A1117,A1,A0,A0,A1,8.0,A1,A0,A1,A0,49.4,408.25,A1
A1118,A0,A0,A1,A0,6.0,A1,A0,A0,A0,44.6,260.8,A0
A1119,A1,A0,A0,A1,23.0,A0,A1,A0,A1,98.7,2249.1,A1
A1120,A1,A0,A1,A0,40.0,A1,A1,A1,A0,71.35,2847.2,A1
A1121,A1,A0,A1,A0,64.0,A1,A0,A1,A1,65.8,4068.0,A1
A1122,A0,A0,A0,A1,7.0,A1,A0,A0,A1,54.85,370.4,A1
A1123,A0,A0,A0,A1,1.0,A1,A2,A2,A2,20.1,20.1,A0
A1124,A0,A0,A1,A0,26.0,A1,A0,A0,A0,50.35,1285.8,A1
A1125,A0,A1,A1,A1,46.0,A0,A0,A0,A1,98.85,4564.9,A1
A1126,,A0,A1,A0,64.0,A0,A1,A1,A1,109.2,6741.15,A1
A1127,A0,A0,A0,A1,64.0,A0,A1,A1,A1,81.25,5567.55,A1
A1128,A1,A1,A1,A1,1.0,A1,A0,A0,A0,49.55,49.55,A0
A1129,A0,A0,A1,A0,6.0,A1,A0,A0,A0,69.8,377.85,A1
A1130,A0,A0,A0,A1,12.0,A1,A0,A0,A1,81.45,912.0,A1
A1131,A1,A0,A0,A1,41.0,A0,A0,A0,A1,98.05,3990.6,A1
A1132,A0,A1,A0,A1,19.0,A0,A0,A0,A1,90.6,1660.0,A0
A1133,A0,A1,A1,A1,62.0,A0,A1,A0,,89.8,5629.55,A1
A1134,A0,A0,A1,A1,70.0,A1,A1,A1,A0,64.95,4523.25,A1
A1135,A1,A0,A0,A1,2.0,A1,A0,A0,A0,44.45,82.7,A1
A1136,A1,A0,A0,A1,1.0,A2,A1,A0,A0,29.95,29.95,A0
A1137,A0,A1,A0,A1,17.0,A1,A0,A0,A0,45.05,770.6,A0
A1138,A1,A0,A1,A0,28.0,A1,A0,A0,,81.05,2227.1,A0
A1139,A1,A0,A0,A1,15.0,A1,A1,A0,A1,101.25,1457.25,A0
A1140,A1,A1,A1,A1,35.0,A0,A0,A0,A1,102.05,3452.55,A1
A1141,A0,A0,A0,A0,6.0,A1,A2,A2,A2,20.2,98.35,A1
A1142,A0,A0,A1,A0,35.0,A1,A2,A2,A2,19.6,686.95,A1
A1143,,A0,A0,A1,4.0,A1,A2,A2,A2,19.65,67.55,A1
A1144,A0,A1,A0,A1,9.0,A0,A0,A0,A0,85.05,746.5,A0
A1145,A0,A0,A1,A0,50.0,A0,A1,A1,A1,103.7,5071.05,A0
A1146,,A0,A0,A1,19.0,A1,A0,A0,A1,78.7,1495.1,A1
A1147,,A0,A0,A1,2.0,A1,A2,A2,A2,19.65,38.8,A1
A1148,A0,A0,A1,A0,72.0,A0,A1,A0,A0,64.45,4720.0,A1
A1149,A0,A1,A1,A1,23.0,A1,A2,A2,A2,20.75,485.2,A1
A1150,A1,A0,A1,A0,26.0,A1,A0,A0,A1,90.8,2361.8,A0
A1151,A0,A0,A1,A1,18.0,A0,A1,A0,A0,56.8,1074.65,A1
A1152,A1,A0,A0,A1,15.0,A1,A2,A2,A2,20.1,302.45,A1
A1153,A1,A0,A0,A1,66.0,A2,A1,A1,A0,47.4,3177.25,A1
A1154,A1,A0,A0,A1,1.0,A1,A2,A2,A2,20.5,20.5,A0
A1155,A1,A0,A0,A1,35.0,A0,A0,A1,A0,80.05,2835.9,A1
A1156,A1,A0,A0,A1,10.0,A1,A1,A0,A0,51.2,498.25,A1
A1157,A1,A0,A1,A0,31.0,A0,A1,A1,A1,80.55,2471.6,A1
A1158,A1,A0,A1,A0,13.0,A0,A2,A2,A2,25.0,332.5,A1
A1159,,A0,A0,A1,20.0,A0,A0,A1,A1,98.55,2031.95,A1
A1160,A0,A0,A0,A1,55.0,A1,A1,A1,A0,64.2,3627.3,A1
A1161,A0,A0,A1,A1,71.0,A0,A1,A1,A1,84.2,5956.85,A1
A1162,A0,A0,A0,A1,21.0,A0,A0,A0,A0,73.7,1558.7,A1
A1163,A1,A0,A0,A1,26.0,A1,A1,A0,A0,56.05,1553.2,A1
A1164,A0,A0,A0,A1,1.0,A1,A0,A0,A0,69.4,69.4,A0
A1165,A0,A1,A0,A1,67.0,A0,A1,A1,A0,64.55,4250.1,A1
A1166,A0,A0,A1,A1,67.0,A1,A1,A1,A1,111.05,7321.05,A1
A1167,,A0,A1,A0,55.0,A1,A2,A2,A2,21.0,1210.3,A1
A1168,A1,A1,A1,A1,53.0,A1,A1,A1,A1,94.0,4871.45,A1
A1169,A1,A0,A0,A1,29.0,A2,A1,A1,A0,39.5,1082.75,A1
A1170,A0,A0,A0,A1,22.0,A0,A2,A2,A2,25.25,566.5,A1
A1171,A1,A1,A0,A1,1.0,A2,A0,A0,,25.2,25.2,A0
A1172,A1,A0,A1,A0,16.0,A1,A1,A1,A0,68.25,1114.85,A1
A1173,A0,A0,A1,A0,61.0,A2,A0,A0,A0,33.6,2117.2,A1
A1174,A0,A0,A0,A1,19.0,A1,A1,A0,A0,73.85,1424.5,A0
A1175,A1,A0,A0,A1,60.0,A0,A0,A1,A0,64.75,4039.5,A1
A1176,A1,A0,A1,A1,72.0,A0,A1,A1,A1,103.95,7556.9,A1
A1177,A1,A0,A0,A1,5.0,A0,A1,A0,A1,90.8,455.5,A0
A1178,A0,A0,A0,A0,1.0,A0,A0,A0,A1,93.3,93.3,A0
A1179,,A0,A0,A1,22.0,A0,A0,A0,A0,54.45,1127.35,A0
A1180,A1,A1,A1,A0,11.0,A0,A0,A0,A0,78.1,864.85,A1
A1181,,A0,A1,A1,45.0,A0,A1,A0,A0,81.4,3775.85,A1
A1182,A1,A0,A0,A1,29.0,A0,A2,A2,A2,25.15,702.0,A1
A1183,A0,A0,A0,A0,33.0,A1,A2,A2,A2,20.15,682.15,A1
A1184,A0,A0,A1,A0,42.0,A1,A2,A2,A2,19.35,867.3,A1
A1185,A0,A0,A0,A1,5.0,A2,A0,A0,A0,24.3,100.2,A1
A1186,A1,A0,A1,A0,71.0,A1,A2,A2,A2,19.85,1326.35,A1
A1187,A0,A0,A0,A1,19.0,A0,A1,A0,A1,99.95,1931.75,A0
A1188,A0,A1,A1,A1,12.0,A1,A0,A0,A0,80.45,950.2,A0
A1189,A0,A0,A1,A0,55.0,A1,A1,A1,A0,57.55,3046.4,A0
A1190,A0,A0,A1,A0,21.0,A0,A1,A1,A1,77.5,1625.0,A0
A1191,A1,A0,A1,A0,71.0,A0,A1,A0,,109.0,7661.8,A1
A1192,A0,A0,A0,A0,1.0,A2,A1,A0,A0,31.35,31.35,A0
A1193,A1,A0,A1,A0,4.0,A1,A2,A2,A2,20.85,62.9,A1
A1194,A1,A0,A1,A0,49.0,A0,A0,A0,A1,95.4,4613.95,A1
A1195,A0,A0,A0,A1,3.0,A1,A2,A2,A2,19.1,53.05,A1
A1196,A1,A1,A0,A1,2.0,A0,A0,A0,A0,84.05,186.05,A1
A1197,A0,A0,A0,A1,16.0,A0,A1,A0,A0,71.4,1212.1,A1
A1198,A1,A1,A1,A0,72.0,A0,A1,A1,A1,89.55,6448.85,A1
A1199,A1,A0,A1,A0,15.0,A0,A1,A0,A1,105.35,1559.25,A1
A1200,A0,A0,A0,A1,6.0,A1,A0,A0,A0,44.75,270.95,A0
A1201,A1,A1,A1,A1,25.0,A1,A1,A0,A0,88.4,2191.15,A1
A1202,A0,A0,A0,A1,48.0,A1,A2,A2,A2,19.95,1004.5,A1
A1203,,A0,A0,A1,43.0,A2,A0,A1,A0,44.15,1931.3,A1
A1204,,A0,A0,A1,4.0,A2,A0,A0,A0,24.45,86.6,A0
A1205,A1,A0,A0,A0,46.0,A1,A1,A0,A1,99.8,4391.25,A1
A1206,A0,A0,A0,A1,10.0,A0,A1,A0,A0,80.7,788.8,A0
A1207,A0,A1,A1,A1,21.0,A1,A0,A0,A1,86.55,1857.25,A1
A1208,A1,A0,A0,A1,63.0,A0,A1,A1,A1,109.85,7002.95,A1
A1209,A0,A0,A0,A1,9.0,A1,A0,A0,A1,94.05,811.65,A1
A1210,A0,A0,A1,A1,58.0,A1,A0,A0,A0,50.3,2878.55,A1
A1211,A0,A0,A0,A0,1.0,A0,A0,A0,A1,99.75,99.75,A0
A1212,A0,A0,A1,A1,72.0,A0,A1,A0,A1,85.25,6083.1,A1
A1213,A0,A0,A0,A1,2.0,A0,A0,A0,A0,76.5,162.45,A0
A1214,A1,A0,A1,A0,21.0,A2,A0,A0,,55.95,1157.05,A0
A1215,A0,A0,A1,A0,46.0,A0,A2,A2,A2,24.9,1174.8,A1
A1216,A0,A1,A1,A1,67.0,A1,A1,A1,A0,60.95,4119.4,A1
A1217,A0,A0,A1,A1,17.0,A0,A1,A0,A0,80.5,1336.9,A1
A1218,A1,A1,A0,A1,72.0,A0,A1,A1,,107.4,7748.75,A1
A1219,A1,A0,A1,A0,21.0,A1,A1,A0,A0,74.05,1565.7,A0
A1220,A0,A0,A0,A1,59.0,A0,A1,A1,A1,111.35,6519.75,A1
A1221,A1,A0,A0,A1,1.0,A1,A0,A0,A0,43.95,43.95,A0
A1222,,A0,A0,A1,1.0,A1,A0,A0,A0,73.5,73.5,A0
A1223,A0,A0,A1,A0,56.0,A0,A1,A1,A1,115.85,6567.9,A1
A1224,A1,A0,A1,A0,10.0,A1,A2,A2,A2,19.8,196.75,A1
A1225,A0,A0,A0,A1,1.0,A1,A0,A1,A0,74.0,74.0,A1
A1226,A1,A0,A0,A1,70.0,A2,A0,A1,,58.35,4214.25,A1
A1227,A1,A0,A0,A1,38.0,A0,A0,A1,A1,103.65,3988.5,A1
A1228,A0,A0,A0,A1,71.0,A0,A0,A1,A1,108.05,7532.15,A0
A1229,A1,A0,A0,A1,14.0,A1,A0,A0,A0,50.1,709.5,A1
A1230,A1,A0,A0,A0,11.0,A1,A2,A2,A2,20.1,221.35,A0
A1231,A0,A0,A0,A0,1.0,A1,A2,A2,A2,19.2,19.2,A1
A1232,A1,A0,A0,A1,40.0,A2,A0,A1,A1,54.55,2236.2,A1
A1233,A0,A1,A0,A1,26.0,A1,A2,A2,,19.3,504.2,A1
A1234,,A0,A0,A1,1.0,A1,A2,A2,A2,19.5,19.5,A1
A1235,A1,A0,A1,A0,71.0,A1,A0,A0,A1,77.55,5574.35,A1
A1236,A0,A0,A0,A1,44.0,A1,A2,A2,A2,19.5,835.5,A1
A1237,A1,A0,A0,A1,1.0,A1,A0,A0,A0,44.0,44.0,A1
A1238,A1,A0,A0,A1,27.0,A0,A0,A0,A1,95.6,2595.25,A1
A1239,A0,A0,A0,A1,22.0,A1,A2,A2,A2,20.3,467.15,A1
A1240,A1,A0,A0,A1,7.0,A1,A0,A1,A1,59.5,415.95,A0
A1241,,A1,A0,A1,2.0,A1,A0,A0,A0,79.6,195.05,A0
A1242,A1,A1,A1,A1,32.0,A0,A0,A0,,85.95,2628.6,A0
A1243,A1,A0,A0,A1,50.0,A2,A1,A1,A0,39.7,1932.75,A1
A1244,A0,A0,A0,A1,33.0,A0,A1,A0,A0,54.65,1665.2,A1
A1245,A0,A0,A1,A0,36.0,A1,A0,A0,A0,63.7,2188.5,A1
A1246,A0,A0,A1,A1,30.0,A1,A0,A0,A0,50.0,1474.9,A1
A1247,A1,A0,A1,A0,41.0,A1,A0,A1,A1,74.7,3187.65,A1
A1248,A1,A0,A0,A1,25.0,A1,A1,A1,A1,74.3,1863.8,A0
A1249,A0,A0,A0,A1,,A2,A0,A0,A1,39.65,733.35,A0
A1250,A0,A0,A0,A0,5.0,A1,A0,A1,A0,48.65,235.2,A1
A1251,A1,A0,A1,A0,22.0,A0,A0,A0,A0,75.8,1615.1,A1
A1252,A1,A1,A0,A1,63.0,A0,A1,A1,A1,83.0,5243.05,A1
A1253,A0,A1,A0,A1,70.0,A2,A0,A0,A1,45.25,3264.45,A0
A1254,,A0,A1,A1,68.0,A0,A2,A2,A2,24.95,1614.9,A1
A1255,A1,A0,A1,A1,16.0,A0,A1,A0,,90.7,1374.9,A1
A1256,,A0,A0,A1,3.0,A1,A0,A0,A0,70.25,229.7,A1
A1257,A0,A0,A0,A1,4.0,A1,A0,A0,A1,88.45,370.65,A0
A1258,A0,A0,A1,A0,58.0,A0,A0,A0,A1,82.5,4828.05,A1
A1259,A0,A0,A0,A1,2.0,A1,A1,A0,A1,100.2,198.5,A1
A1260,A0,A0,A0,A1,34.0,A1,A1,A0,A0,49.8,1734.2,A1
A1261,,A0,A1,A1,66.0,A0,A1,A1,A1,91.7,6075.9,A1
A1262,A1,A1,A1,A1,50.0,A0,A1,A0,,88.05,4367.35,A0
A1263,A0,A1,A1,A1,34.0,A1,A0,A0,A0,71.55,2427.35,A1
A1264,A0,A0,A0,A1,4.0,A0,A0,A0,A1,90.65,367.95,A1
A1265,A1,A0,A0,A1,45.0,A1,A1,A1,A0,62.55,2796.45,A1
A1266,A1,A0,A0,A1,37.0,A2,A0,A0,A0,40.2,1478.85,A1
A1267,A0,A0,A1,A0,30.0,A0,A1,A0,A1,94.4,2838.7,A0
A1268,A0,A0,A0,A0,5.0,A1,A2,A2,A2,20.45,106.9,A1
A1269,A1,A0,A1,A1,41.0,A2,A1,A1,A0,35.45,1391.65,A1
A1270,A1,A0,A0,A1,10.0,A0,A2,A2,A2,24.5,270.15,A1
A1271,A0,A0,A1,A0,25.0,A1,A0,A1,A1,85.9,2199.05,A1
A1272,A1,A1,A1,A1,13.0,A1,A0,A0,A0,70.15,916.75,A0
A1273,A1,A0,A0,A1,1.0,A1,A0,A0,A0,70.25,70.25,A1
A1274,A1,A1,A1,A1,52.0,A0,A1,A0,A1,109.1,5647.95,A1
A1275,A1,A0,A0,A1,61.0,A2,A1,A1,,43.7,2696.55,A1
A1276,A0,A0,A0,A1,4.0,A1,A0,A0,A0,44.55,220.75,A1
A1277,A0,A1,A0,A1,70.0,A2,A1,A0,A1,44.05,3011.65,A1
A1278,A0,A0,A0,A1,4.0,A0,A0,A0,A0,80.1,336.15,A1
A1279,A0,A0,A0,A1,2.0,A2,A0,A0,A0,24.9,49.7,A1
A1280,A1,A0,A1,A1,4.0,A0,A1,A0,A1,91.65,365.4,A0
A1281,A0,A0,A1,A0,53.0,A0,A0,A1,A1,78.75,3942.45,A1
A1282,,A0,A0,A1,4.0,A1,A2,A2,A2,19.75,78.3,A1
A1283,A1,A0,A1,A0,31.0,A0,A0,A1,A1,104.2,3243.45,A0
A1284,A0,A1,A1,A1,11.0,A1,A0,A0,A0,70.2,834.7,A1
A1285,A1,A0,A1,A1,72.0,A0,A1,A0,A1,100.65,7334.05,A1
A1286,A1,A1,A1,A1,42.0,A0,A1,A0,A1,95.55,3930.6,A1
A1287,A0,A0,A0,A1,72.0,A0,A1,A1,,113.4,8164.1,A1
A1288,A0,A1,A0,A1,4.0,A1,A0,A0,A1,94.75,422.4,A1
A1289,A1,A0,A0,A1,5.0,A0,A0,A0,A1,84.0,424.75,A1
A1290,A1,A0,A1,A1,24.0,A1,A2,A2,,20.15,456.85,A1
A1291,A1,A0,A0,A1,6.0,A2,A1,A1,A0,50.95,307.6,A1
A1292,A1,A1,A0,A1,3.0,A1,A0,A0,A0,70.4,204.7,A0
A1293,A1,A0,A1,A1,68.0,A0,A1,A1,A1,91.7,6424.7,A1
A1294,A0,A0,A0,A1,3.0,A0,A0,A0,A0,74.5,217.45,A1
A1295,A0,A0,A1,A0,67.0,A0,A0,A1,A1,104.6,6885.75,A1
A1296,A0,A0,A1,A0,69.0,A0,A1,A0,A1,105.0,7297.75,A1
A1297,A0,A0,A1,A1,42.0,A0,A1,A0,A1,95.25,3959.35,A0
A1298,,A0,A0,A1,70.0,A0,A1,A1,A1,89.75,6367.2,A1
A1299,A0,A0,A1,A0,,A1,A2,A2,A2,20.15,419.9,A1
A1300,A0,A0,A0,A0,11.0,A0,A0,A0,A0,86.2,893.2,A1
A1301,A0,A0,A1,A0,72.0,A0,A1,A1,A1,82.3,5815.15,A1
A1302,A1,A0,A1,A0,72.0,A1,A1,A1,A1,85.3,6129.2,A1
A1303,A0,A0,A0,A0,3.0,A1,A0,A0,A0,69.65,220.1,A0
A1304,A0,A0,A0,A1,11.0,A1,A2,A2,A2,20.35,215.25,A1
A1305,A1,A1,A1,A1,3.0,A1,A0,A1,A1,83.9,267.4,A0
A1306,A1,A0,A1,A1,48.0,A1,A1,A0,A1,97.05,4692.95,A1
A1307,A1,A0,A1,A0,1.0,A0,A0,A0,A1,102.45,102.45,A0
A1308,,A0,A0,A1,1.0,A1,A0,A0,A1,88.35,88.35,A0
A1309,A1,A1,A0,A1,1.0,A0,A0,A0,A0,85.05,85.05,A0
A1310,A1,A0,A0,A1,1.0,A1,A0,A0,A0,45.95,45.95,A0
A1311,A1,A1,A0,A1,8.0,A1,A0,A0,A1,92.1,729.95,A0
A1312,A0,A0,A0,A1,8.0,A0,A0,A0,A1,59.25,436.6,A1
A1313,,A0,A1,A0,47.0,A1,A0,A0,,90.05,4137.2,A1
A1314,A0,A1,A0,A1,6.0,A1,A0,A0,A1,79.7,497.6,A1
A1315,A1,A0,A1,A0,70.0,A0,A1,A1,A1,114.2,7723.9,A0
A1316,A0,A0,A1,A0,2.0,A1,A2,A2,,20.3,40.25,A1
A1317,A1,A0,A1,A0,17.0,A1,A0,A1,A1,98.6,1704.95,A0
A1318,,A0,A0,A1,1.0,A1,A0,A0,A0,48.6,48.6,A0
A1319,A0,A0,A0,A1,5.0,A1,A0,A1,A0,49.2,216.9,A0
A1320,,A0,A0,A0,30.0,A0,A2,A2,A2,25.35,723.3,A1
A1321,A0,A0,A1,A1,23.0,A1,A2,A2,A2,19.3,486.2,A1
A1322,A0,A0,A0,A1,2.0,A1,A0,A0,A0,70.7,129.2,A1
A1323,A1,A0,A1,A1,26.0,A1,A0,A1,A0,85.9,2196.45,A1
A1324,A0,A0,A1,A0,32.0,A1,A1,A0,A0,94.8,3131.55,A1
A1325,A1,A0,A0,A1,60.0,A2,A0,A0,A1,53.6,3237.05,A1
A1326,A0,A0,A0,A1,33.0,A1,A1,A0,A0,79.0,2576.8,A1
A1327,A0,A0,A0,A1,66.0,A1,A2,A2,A2,19.7,1253.8,A1
A1328,A1,A0,A1,A1,72.0,A0,A1,A1,A1,113.65,8124.2,A1
A1329,A1,A1,A0,A1,1.0,A1,A0,A0,A0,69.95,69.95,A0
A1330,A0,A0,A0,A1,1.0,A1,A2,A2,A2,20.5,20.5,A0
A1331,A0,A0,A0,A1,4.0,A1,A0,A0,,44.8,176.2,A1
A1332,,A1,A1,A0,24.0,A0,A0,A0,A0,79.85,1857.75,A1
A1333,A0,A0,A0,A1,3.0,A1,A2,A2,A2,19.8,58.15,A0
A1334,,A0,A1,A1,6.0,A0,A1,A0,A1,105.3,545.2,A0
A1335,,A0,A0,A1,39.0,A2,A0,A1,A0,35.55,1309.15,A1
A1336,A1,A0,A1,A0,52.0,A1,A0,A0,A1,100.3,5244.45,A1
A1337,A0,A0,A1,A1,36.0,A2,A0,A0,A0,35.35,1317.95,A1
A1338,A1,A0,A1,A1,8.0,A0,A0,A0,A0,84.9,764.95,A0
A1339,A0,A0,A1,A1,44.0,A1,A1,A1,A0,59.85,2603.95,A1
A1340,A1,A0,A0,A0,,A1,A0,A1,A1,67.65,2339.3,A1
A1341,A0,A1,A0,A1,55.0,A0,A0,A0,,98.8,5617.75,A0
A1342,A0,A0,A1,A1,63.0,A0,A1,A0,A1,102.4,6444.05,A1
A1343,A0,A0,A0,A1,1.0,A1,A0,A1,A0,49.05,49.05,A1
A1344,A1,A0,A0,A1,30.0,A0,A1,A0,A1,100.2,2983.8,A0
A1345,A0,A0,A0,A1,54.0,A0,A0,A1,A1,87.1,4735.2,A1
A1346,A1,A0,A0,A1,3.0,A0,A0,A0,A0,74.95,212.4,A1
A1347,,A0,A0,A1,17.0,A1,A1,A0,A0,56.1,946.95,A1
A1348,A0,A0,A1,A1,72.0,A0,A1,A1,,68.15,4808.7,A1
A1349,A1,A0,A0,A1,25.0,A1,A1,A1,A0,65.8,1679.65,A1
A1350,A0,A0,A0,A1,70.0,A2,A0,A1,A0,48.4,3442.8,A1
A1351,A0,A0,A1,A0,69.0,A1,A0,A1,A1,95.2,6671.7,A1
A1352,A0,A1,A0,A1,45.0,A1,A0,A0,A0,62.7,2791.5,A0
A1353,A0,A0,A0,A1,58.0,A1,A1,A1,,70.1,4048.95,A1
A1354,A0,A1,A1,A1,72.0,A0,A1,A1,A0,93.05,6735.05,A1
A1355,,A0,A0,A1,65.0,A1,A2,A2,A2,19.55,1218.65,A1
A1356,A0,A1,A1,A1,37.0,A0,A0,A0,A1,92.5,3473.4,A0
A1357,A0,A1,A0,A1,65.0,A0,A0,A1,A1,109.05,7108.2,A1
A1358,A1,A0,A1,A0,21.0,A1,A1,A0,A1,58.85,1215.45,A1
A1359,A0,A0,A1,A1,22.0,A1,A0,A0,A1,59.75,1374.35,A1
A1360,A0,A0,A0,A1,6.0,A1,A0,A0,A0,59.15,336.7,A1
A1361,A1,A0,A0,A0,44.0,A0,A1,A0,A1,77.55,3471.1,A1
A1362,A1,A0,A0,A1,57.0,A1,A1,A1,A1,74.3,4166.35,A1
A1363,A0,A1,A1,A1,69.0,A2,A1,A0,A1,56.55,3952.65,A1
A1364,A1,A0,A1,A1,68.0,A0,A1,A1,A1,118.6,7990.05,A1
A1365,A0,A0,A1,A1,71.0,A1,A0,A1,A0,54.5,3778.2,A1
A1366,A1,A0,A1,A1,71.0,A1,A2,A2,A2,19.85,1379.6,A1
A1367,A1,A0,A1,A1,19.0,A0,A1,A0,A0,89.1,1620.8,A1
A1368,A1,A0,A0,A1,3.0,A1,A1,A0,A0,79.1,246.5,A0
A1369,A0,A0,A1,A0,24.0,A1,A0,A0,A0,56.25,1454.25,A1
A1370,A1,A0,A1,A1,66.0,A0,A1,A0,A1,105.2,6936.85,A1
A1371,A1,A0,A1,A1,53.0,A1,A1,A1,A1,110.5,5835.5,A1
A1372,A1,A0,A1,A0,53.0,A1,A1,A1,A1,108.25,5935.1,A1
A1373,A1,A0,A0,A1,53.0,A1,A1,A1,A0,94.45,5042.75,A1
